===============================
=== Irresponsible Behavior (157 cases) ===
===============================
lupe.gave@freesurf.fr	2
	DATE: [2020-05-01] ---
		00:04:23	login	mailserver.local
		10:56:32	logout	mailserver.local
		07:11:31	login	mailserver.local
	DATE: [2020-05-04] ---
		00:31:11	login	mailserver.local
		01:20:11	logout	mailserver.local
		11:27:26	login	mailserver.local
		04:55:08	login	mailserver.local
arti.karshner@mail2perry.com	4
	DATE: [2020-05-01] ---
		01:51:58	login	webserver.local
		14:22:53	logout	webserver.local
		02:24:30	login	webserver.local
	DATE: [2020-05-05] ---
		01:23:25	login	webserver.local
		10:55:43	login	webserver.local
		12:15:18	login	webserver.local
		02:34:17	login	webserver.local
		06:35:10	logout	webserver.local
	DATE: [2020-05-08] ---
		01:39:01	logout	webserver.local
		11:28:18	login	webserver.local
		17:24:42	login	webserver.local
	DATE: [2020-05-22] ---
		19:14:59	logout	myworkstation.local
		02:51:48	login	myworkstation.local
		08:50:12	login	myworkstation.local
maximiliano.mancell@spacemart.com	6
	DATE: [2020-05-01] ---
		13:47:47	logout	webserver.local
		22:01:10	login	webserver.local
		03:09:43	login	webserver.local
	DATE: [2020-05-12] ---
		21:28:41	logout	myworkstation.local
		04:50:52	login	myworkstation.local
		07:58:26	login	myworkstation.local
	DATE: [2020-05-16] ---
		01:20:48	logout	mailserver.local
		17:16:42	login	mailserver.local
		17:46:28	login	mailserver.local
		06:11:01	login	mailserver.local
	DATE: [2020-05-17] ---
		11:29:14	login	webserver.local
		18:10:07	login	webserver.local
		07:55:06	logout	webserver.local
	DATE: [2020-05-19] ---
		18:45:22	logout	myworkstation.local
		19:32:28	login	myworkstation.local
		04:45:42	login	myworkstation.local
		07:09:14	login	myworkstation.local
	DATE: [2020-05-26] ---
		10:57:29	login	webserver.local
		16:20:35	login	webserver.local
		07:26:55	logout	webserver.local
kirsten.zawistowski@gmx.net	3
	DATE: [2020-05-01] ---
		18:23:46	logout	webserver.local
		04:46:40	login	webserver.local
		05:30:22	login	webserver.local
	DATE: [2020-05-17] ---
		15:35:49	login	myworkstation.local
		21:59:24	login	myworkstation.local
		07:20:11	logout	myworkstation.local
	DATE: [2020-05-24] ---
		00:13:36	login	webserver.local
		03:44:30	login	webserver.local
		05:36:45	logout	webserver.local
keshawn.zimmerman@mail2zambia.com	2
	DATE: [2020-05-02] ---
		00:26:45	login	mailserver.local
		20:46:27	logout	mailserver.local
		05:12:09	login	mailserver.local
	DATE: [2020-05-24] ---
		19:27:53	logout	mailserver.local
		20:15:05	login	mailserver.local
		06:10:54	login	mailserver.local
laurinda.barrow@miho-nakayama.com	7
	DATE: [2020-05-02] ---
		01:21:42	login	myworkstation.local
		12:17:20	login	myworkstation.local
		12:45:00	logout	myworkstation.local
		14:17:39	login	myworkstation.local
	DATE: [2020-05-10] ---
		13:19:51	logout	mailserver.local
		21:09:24	login	mailserver.local
		07:43:38	login	mailserver.local
	DATE: [2020-05-18] ---
		13:06:54	logout	mailserver.local
		23:50:31	login	mailserver.local
		07:21:52	login	mailserver.local
	DATE: [2020-05-19] ---
		15:20:59	login	mailserver.local
		17:54:36	login	mailserver.local
		05:51:53	logout	mailserver.local
		08:19:19	login	mailserver.local
	DATE: [2020-05-19] ---
		17:11:58	login	webserver.local
		21:08:44	logout	webserver.local
		05:05:56	login	webserver.local
	DATE: [2020-05-29] ---
		21:37:47	login	myworkstation.local
