===============================
=== System Glitches (172 cases) ===
===============================
arti.karshner@mail2perry.com	5
	DATE: [2020-05-01] ---
		13:04:48	login	myworkstation.local
		16:59:03	logout	myworkstation.local
		20:32:28	logout	myworkstation.local
	DATE: [2020-05-14] ---
		01:56:32	login	webserver.local
		10:23:36	logout	webserver.local
		16:31:34	logout	webserver.local
	DATE: [2020-05-16] ---
		01:05:08	login	mailserver.local
		22:31:28	logout	mailserver.local
		08:00:27	logout	mailserver.local
	DATE: [2020-05-23] ---
		10:18:31	logout	myworkstation.local
		16:50:31	login	myworkstation.local
		17:06:20	logout	myworkstation.local
	DATE: [2020-05-25] ---
		00:02:39	logout	myworkstation.local
		12:16:30	logout	myworkstation.local
		16:29:53	login	myworkstation.local
queen.pflughoeft@theraces.com	3
	DATE: [2020-05-01] ---
		12:00:54	logout	myworkstation.local
		14:15:49	login	myworkstation.local
		03:22:35	logout	myworkstation.local
		04:24:35	logout	myworkstation.local
	DATE: [2020-05-02] ---
		17:30:45	logout	mailserver.local
		22:42:42	login	mailserver.local
		23:46:42	logout	mailserver.local
	DATE: [2020-05-11] ---
		19:46:53	logout	mailserver.local
		23:15:54	logout	mailserver.local
		07:34:48	login	mailserver.local
olusegun.flemmings@theraces.com	4
	DATE: [2020-05-01] ---
		17:14:44	logout	mailserver.local
		17:33:59	login	mailserver.local
		20:58:51	logout	mailserver.local
	DATE: [2020-05-03] ---
		10:20:31	logout	webserver.local
		11:05:39	logout	webserver.local
		13:05:42	logout	webserver.local
		02:18:35	logout	webserver.local
		09:31:05	login	webserver.local
	DATE: [2020-05-06] ---
		15:04:36	logout	webserver.local
		15:36:11	logout	webserver.local
		05:03:32	login	webserver.local
	DATE: [2020-05-09] ---
		01:41:59	logout	webserver.local
		20:43:15	login	webserver.local
		09:38:19	logout	webserver.local
laurinda.barrow@miho-nakayama.com	4
	DATE: [2020-05-01] ---
		17:55:47	login	webserver.local
		06:32:08	logout	webserver.local
		08:13:11	logout	webserver.local
